YYYY-MM,UnitID,Starting Cash,Savings In,Gross Revenue,Mgmt Expense,CapEx Operating,HOA,Insurance,Property Tax,Debt Service (Total),Scheduled Principal,Interest Portion,Ops Net,Rainy Top-Up,Capex Top-Up,Rainy Balance,Capex Balance,Liquidity Required,Liquidity Actual,Liquidity Ratio,Freeze Flag,Accessible Principal,Deployable (Cash+Accessible),Feeder Draw (Net),Feeder Prepay,Purchase: Down Payment,Purchase: Closing Costs,Purchase: Initial Rainy Funding,Purchase Out (Total),New Loan Principal,Loan Balance (End),End Cash,Units Owned
Y10-05,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7763.4,1979.24,2544.74,14847.43,4814.74,10032.69,1956.75,66.78,0.0,162808.89,271.85,163080.74,163080.74,1.0,0,558032.45,564089.08,0.0,6056.64,0.0,0.0,0.0,0.0,0.0,1746679.76,0.0,7
Y10-06,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7763.4,1984.12,2551.02,14847.43,4876.8,9970.63,1007.15,66.94,0.0,162875.83,271.85,163147.68,163147.68,1.0,0,565986.52,571093.39,0.0,5106.88,0.0,0.0,0.0,0.0,0.0,1736696.08,0.0,7
Y10-07,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7763.4,1989.02,2557.31,14847.43,4933.79,9913.64,1934.41,67.11,0.0,162942.94,271.85,163214.79,163214.79,1.0,0,573291.1,579325.07,0.0,6033.96,0.0,0.0,0.0,0.0,0.0,1725728.33,0.0,7
Y10-08,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7763.4,1993.92,2563.62,14847.43,4996.4,9851.03,1923.19,67.27,0.0,163010.22,271.85,163282.06,163282.06,1.0,0,581315.69,587338.27,0.0,6022.59,0.0,0.0,0.0,0.0,0.0,1714709.35,0.0,7
Y10-09,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7763.4,1998.84,2569.94,14847.43,5059.3,9788.13,973.52,67.44,0.0,163077.66,271.85,163349.51,163349.51,1.0,0,589377.76,594450.5,0.0,5072.74,0.0,0.0,0.0,0.0,0.0,1704577.31,0.0,7
Y10-10,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7763.4,2003.77,2576.28,14847.43,5117.13,9730.3,1900.69,67.61,0.0,163145.26,271.85,163417.11,163417.11,1.0,0,596790.89,602790.64,0.0,5999.74,0.0,0.0,0.0,0.0,0.0,1693460.43,0.0,7
Y10-11,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7763.4,2008.71,2582.63,14847.43,5180.59,9666.84,950.95,67.77,0.0,163213.04,271.85,163484.89,163484.89,1.0,0,604924.59,609974.43,0.0,5049.85,0.0,0.0,0.0,0.0,0.0,1683229.99,0.0,7
Y10-12,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7763.4,2013.67,2589.0,14847.43,5238.99,9608.44,1878.07,67.94,0.0,163280.98,271.85,163552.83,163552.83,1.0,0,612409.72,618386.51,0.0,5976.79,0.0,0.0,0.0,0.0,0.0,1672014.21,0.0,7
Y11-01,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7996.3,2018.63,2595.39,14847.43,5303.02,9544.41,1633.81,1465.52,0.0,164746.5,271.85,165018.35,165018.35,1.0,0,675610.22,679945.18,0.0,4334.96,0.0,0.0,0.0,0.0,0.0,1662376.24,0.0,7
Y11-02,TOTAL,0.0,4166.67,35035.0,7007.0,1751.75,7996.3,2023.61,2601.79,14847.43,5358.03,9489.4,-1192.88,68.28,0.0,164814.78,271.85,165086.62,165086.62,1.0,0,682661.87,685567.38,0.0,2905.51,0.0,0.0,0.0,0.0,0.0,1654112.69,0.0,7
Y11-03,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7996.3,2028.6,2608.2,14847.43,5405.2,9442.23,1611.03,68.44,0.0,164883.22,271.85,165155.07,165155.07,1.0,0,688707.92,694417.17,0.0,5709.25,0.0,0.0,0.0,0.0,0.0,1642998.24,0.0,7
Y11-04,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7996.3,2033.61,2614.64,14847.43,5468.65,9378.78,661.15,68.61,0.0,164951.83,271.85,165223.68,165223.68,1.0,0,696839.84,701599.04,0.0,4759.21,0.0,0.0,0.0,0.0,0.0,1632770.39,0.0,7
